scope,symbol,initial_reaction,horizon,n,mean_return,median_return,std_return,standard_error,ci95_lower,ci95_upper,sample_note
pooled,ALL,negative,d20,47,0.0050745408434538794,-0.016949152542372836,0.10982492855745407,0.016019612270289914,-0.026323899206314352,0.03647298089322211,inferential
stock,HAL,all,d1,13,0.012286632986032062,0.01562543326955601,0.03064620257656972,0.008499727291390674,-0.00437283250509366,0.028946098477157782,inferential
stock,HAL,all,d3,13,0.01580331658680663,0.014563106796116498,0.05191900512350854,0.014399741164914433,-0.01242017609642566,0.04402680927003892,inferential
stock,HAL,all,d5,13,0.016248684705227053,0.018014530050787014,0.06515971634594948,0.018072053721539225,-0.019172540588989827,0.05166990999944393,inferential
stock,HAL,all,d10,12,0.008250042071752542,-0.015726610177747846,0.09086585267113687,0.026230712249912875,-0.043162153938076694,0.059662238081581775,inferential
stock,HAL,all,d20,12,0.05012254375092326,0.008968824014095766,0.14508690430410137,0.0418829816279312,-0.031968100239821884,0.1322131877416684,inferential
stock,HAL,positive,d1,6,0.031034262250091833,0.02843266847914494,0.02264185496418366,0.00924349858205871,0.012917005029256762,0.0491515194709269,descriptive
stock,HAL,positive,d3,6,0.04693726581130122,0.03897683533863383,0.04956054409550274,0.020233007401447897,0.007280571304463343,0.0865939603181391,descriptive
stock,HAL,positive,d5,6,0.057572015112416906,0.04137621194068242,0.056434354666370125,0.023039228815976937,0.012415126633102111,0.1027289035917317,descriptive
stock,HAL,positive,d10,5,0.06409057913121637,0.08328838062358401,0.07966975323983667,0.03562939679898178,-0.005743038594787919,0.13392419685722065,descriptive
stock,HAL,positive,d20,5,0.08510267932006932,0.08749595425612267,0.09366327274804759,0.041887488971947585,0.003003200935052047,0.1672021577050866,descriptive
stock,HAL,neutral,d1,0,,,,,,,descriptive
stock,HAL,neutral,d3,0,,,,,,,descriptive
stock,HAL,neutral,d5,0,,,,,,,descriptive
stock,HAL,neutral,d10,0,,,,,,,descriptive
stock,HAL,neutral,d20,0,,,,,,,descriptive
