rank_family,rank,subject_group,horizon,metric,value,signed_mean,n,analysis_status
highest_mean_volume_ratio_60m,8,capital_structure,60m,mean_volume_ratio,1.2393595517087326,1.2393595517087326,275,inferential
highest_mean_volume_ratio_60m,9,credit_ratings,60m,mean_volume_ratio,1.073489546949464,1.073489546949464,30,inferential
highest_mean_volume_ratio_session_close,1,financial_results,session_close,mean_volume_ratio,3.8726352275936846,3.8726352275936846,75,inferential
highest_mean_volume_ratio_session_close,2,strategic_transactions,session_close,mean_volume_ratio,2.1733699699031295,2.1733699699031295,128,inferential
highest_mean_volume_ratio_session_close,3,investor_communication,session_close,mean_volume_ratio,1.9428992121654336,1.9428992121654336,365,inferential
highest_mean_volume_ratio_session_close,4,business_updates,session_close,mean_volume_ratio,1.704801730172731,1.704801730172731,681,inferential
highest_mean_volume_ratio_session_close,5,regulatory_compliance,session_close,mean_volume_ratio,1.647658888530227,1.647658888530227,126,inferential
highest_mean_volume_ratio_session_close,6,board_governance,session_close,mean_volume_ratio,1.3834342979901293,1.3834342979901293,351,inferential
highest_mean_volume_ratio_session_close,7,corporate_actions,session_close,mean_volume_ratio,1.3180530885870523,1.3180530885870523,31,inferential
highest_mean_volume_ratio_session_close,8,capital_structure,session_close,mean_volume_ratio,1.1691765245364973,1.1691765245364973,297,inferential
highest_mean_volume_ratio_session_close,9,credit_ratings,session_close,mean_volume_ratio,1.094649230528634,1.094649230528634,31,inferential
highest_mean_range_5m,1,financial_results,5m,mean_range,0.02405837058636104,0.02405837058636104,74,inferential
highest_mean_range_5m,2,strategic_transactions,5m,mean_range,0.014563588786940855,0.014563588786940855,129,inferential
highest_mean_range_5m,3,business_updates,5m,mean_range,0.0121123238736259,0.0121123238736259,683,inferential
highest_mean_range_5m,4,investor_communication,5m,mean_range,0.011776693370326398,0.011776693370326398,369,inferential
highest_mean_range_5m,5,corporate_actions,5m,mean_range,0.011145191894391572,0.011145191894391572,32,inferential
highest_mean_range_5m,6,board_governance,5m,mean_range,0.010231310809930961,0.010231310809930961,350,inferential
highest_mean_range_5m,7,regulatory_compliance,5m,mean_range,0.009776434165651144,0.009776434165651144,128,inferential
highest_mean_range_5m,8,credit_ratings,5m,mean_range,0.009029484846743457,0.009029484846743457,30,inferential
highest_mean_range_5m,9,capital_structure,5m,mean_range,0.006457997566310501,0.006457997566310501,297,inferential
highest_mean_range_30m,1,financial_results,30m,mean_range,0.031122210852810504,0.031122210852810504,72,inferential
highest_mean_range_30m,2,strategic_transactions,30m,mean_range,0.019923403035568107,0.019923403035568107,127,inferential
highest_mean_range_30m,3,business_updates,30m,mean_range,0.016703732623467464,0.016703732623467464,666,inferential
highest_mean_range_30m,4,investor_communication,30m,mean_range,0.0164819091543545,0.0164819091543545,363,inferential
highest_mean_range_30m,5,corporate_actions,30m,mean_range,0.01587206730346722,0.01587206730346722,32,inferential
highest_mean_range_30m,6,board_governance,30m,mean_range,0.014840597052022004,0.014840597052022004,344,inferential
highest_mean_range_30m,7,regulatory_compliance,30m,mean_range,0.014400228381743893,0.014400228381743893,123,inferential
highest_mean_range_30m,8,credit_ratings,30m,mean_range,0.01286812481350431,0.01286812481350431,30,inferential
highest_mean_range_30m,9,capital_structure,30m,mean_range,0.009716230228289248,0.009716230228289248,288,inferential
highest_mean_range_60m,1,financial_results,60m,mean_range,0.033494017762448286,0.033494017762448286,70,inferential
highest_mean_range_60m,2,strategic_transactions,60m,mean_range,0.022421306254903343,0.022421306254903343,125,inferential
highest_mean_range_60m,3,investor_communication,60m,mean_range,0.01927036808177121,0.01927036808177121,356,inferential
highest_mean_range_60m,4,business_updates,60m,mean_range,0.01910377198746984,0.01910377198746984,655,inferential
highest_mean_range_60m,5,corporate_actions,60m,mean_range,0.01863696401098399,0.01863696401098399,32,inferential
highest_mean_range_60m,6,regulatory_compliance,60m,mean_range,0.01765403840509746,0.01765403840509746,115,inferential
highest_mean_range_60m,7,board_governance,60m,mean_range,0.017434631134418874,0.017434631134418874,337,inferential
highest_mean_range_60m,8,credit_ratings,60m,mean_range,0.015070709216627903,0.015070709216627903,30,inferential
highest_mean_range_60m,9,capital_structure,60m,mean_range,0.01144338457735243,0.01144338457735243,277,inferential
highest_mean_range_session_close,1,financial_results,session_close,mean_range,0.0397488920176878,0.0397488920176878,75,inferential
highest_mean_range_session_close,2,strategic_transactions,session_close,mean_range,0.03374313368045802,0.03374313368045802,129,inferential
highest_mean_range_session_close,3,investor_communication,session_close,mean_range,0.027289296406568672,0.027289296406568672,370,inferential
highest_mean_range_session_close,4,business_updates,session_close,mean_range,0.026416609130305687,0.026416609130305687,687,inferential
highest_mean_range_session_close,5,regulatory_compliance,session_close,mean_range,0.025787191840367887,0.025787191840367887,128,inferential
highest_mean_range_session_close,6,board_governance,session_close,mean_range,0.02442990953006252,0.02442990953006252,352,inferential
highest_mean_range_session_close,7,corporate_actions,session_close,mean_range,0.023465085437643286,0.023465085437643286,32,inferential
highest_mean_range_session_close,8,credit_ratings,session_close,mean_range,0.021916572755607662,0.021916572755607662,31,inferential
highest_mean_range_session_close,9,capital_structure,session_close,mean_range,0.01741136035397859,0.01741136035397859,300,inferential
