symbol,subject_group,horizon,n,mean_return,median_return,std_return,mean_volume_ratio,median_volume_ratio,mean_range,median_range
HDFCBANK,financial_results,5m,14,-0.0013108618131374983,-0.0018720277493245452,0.003640928775688147,3.9253386827912293,2.4872902862262016,0.013816503846128996,0.011263799581142098
HDFCBANK,financial_results,30m,14,1.007633268227234e-05,-0.0011361681461536377,0.005927791306017621,3.2728729291967436,2.2360771133203476,0.016361624981750898,0.014935136933141191
HDFCBANK,financial_results,60m,14,0.002281600946561015,0.002377209947236114,0.007270271575726598,2.7148747841971512,2.106369337893124,0.017846844617603472,0.01674694289456724
HDFCBANK,financial_results,session_close,14,-0.0008259248280734686,-4.612342299487038e-05,0.010933880970316969,1.7211262762288544,1.2092832904469355,0.02091793583727462,0.020654161291423723
HDFCBANK,financial_results,d1,14,-0.005835864536029752,-0.003574950690335421,0.02116854024836123,,,,
HDFCBANK,financial_results,d5,14,-0.011354088940688583,-0.005717405944404619,0.029336414249447752,,,,
HDFCBANK,financial_results,d10,14,-0.010064691713524714,-0.0039447731755424265,0.030552367447048066,,,,
HDFCBANK,financial_results,d20,14,-0.013573372887969972,0.0005397846990767841,0.04169476906877382,,,,
HDFCBANK,investor_communication,5m,134,-9.920440978582087e-05,-0.0002453206741016567,0.0030378641439567726,1.874175664453583,1.1321305293507142,0.00817191242600235,0.006651247538126737
HDFCBANK,investor_communication,30m,132,-0.0002978586618570912,-0.0010624342474503945,0.00445146332611148,1.6912435584014294,1.1061153903436518,0.010271268238967967,0.008502500566524906
HDFCBANK,investor_communication,60m,131,-0.0006831142811773527,-0.001826245760500833,0.0053277171633076825,1.5856954919414146,1.0015406251049814,0.011505026858741312,0.009664948453608213
HDFCBANK,investor_communication,session_close,135,-0.0013154208752253775,-0.0009247842170161391,0.008405118897912891,1.2448191480365989,1.0500327415105262,0.015866705108811996,0.013908996897621595
HDFCBANK,investor_communication,d1,135,-0.002656186656232775,-0.00015523932729621936,0.016121405179448187,,,,
HDFCBANK,investor_communication,d5,133,-0.004369995547942902,-0.0013192612137202797,0.031006952556489373,,,,
HDFCBANK,investor_communication,d10,133,-0.0036272007385190538,-0.003410500206697087,0.040419297936743974,,,,
HDFCBANK,investor_communication,d20,132,-0.006884581906022732,-0.004938772592809559,0.05261203733378887,,,,
HDFCBANK,regulatory_compliance,5m,28,-0.0006773207816123514,-0.000324688504862225,0.0019819969274808957,1.0319243277517283,0.7612036258800537,0.00611080898019946,0.005676470189739602
HDFCBANK,regulatory_compliance,30m,28,-0.0010495209849683115,-0.0008998684298198167,0.0035926942742249383,1.082164466339423,0.8866221122185061,0.008473268285748403,0.00793648723671414
HDFCBANK,regulatory_compliance,60m,24,-0.00033439675597691604,-0.0009245537859862152,0.004292870675366635,1.0670251217801605,0.9215935037240339,0.010391718656527391,0.009390231910907598
HDFCBANK,regulatory_compliance,session_close,28,-0.0011510124702335098,-0.001932054658140392,0.007627270117884532,1.039475443666706,0.85736194327909,0.014872897123530206,0.013390491179880892
HDFCBANK,regulatory_compliance,d1,28,-0.001027373894543033,-0.0006301779011136377,0.014835613035022571,,,,
HDFCBANK,regulatory_compliance,d5,28,-0.006860247126446712,-0.0026572334834082945,0.0254555845715162,,,,
HDFCBANK,regulatory_compliance,d10,28,-0.0038413455225095434,-0.0005641849826787948,0.03860016908635706,,,,
HDFCBANK,regulatory_compliance,d20,28,-0.00819560010323947,-0.0037434293704612376,0.04933543836005069,,,,
HDFCBANK,strategic_transactions,5m,11,0.0002455897424932544,0.0002729630135116512,0.002698150310198415,1.1249840889000335,1.0664752364326542,0.006016688776638513,0.005986375834308166
HDFCBANK,strategic_transactions,30m,11,0.0006461998587706897,0.0004094445202673658,0.005498144036726344,1.0387632883874494,1.2226566441541704,0.008902162711544587,0.010439427045399352
HDFCBANK,strategic_transactions,60m,11,-0.00024302007239682878,0.0005736037962140728,0.004530287217025282,1.0436982152877219,1.1491485114944808,0.009615901194389265,0.010665382233537413
HDFCBANK,strategic_transactions,session_close,11,0.001747006504379816,0.000682407533779239,0.012465136709977776,1.093726403218323,1.04294986795435,0.01515606839957575,0.013352755523185156
HDFCBANK,strategic_transactions,d1,11,0.006811290480308273,0.00391093497418793,0.024079253018086083,,,,
HDFCBANK,strategic_transactions,d5,11,0.025062274609202993,0.040290620871862526,0.04326846429567546,,,,
HDFCBANK,strategic_transactions,d10,11,0.031472589921328724,0.02945205479452051,0.03856693221125283,,,,
HDFCBANK,strategic_transactions,d20,11,0.056075935536231,0.05719404630650504,0.052974369053096784,,,,
NYKAA,board_governance,5m,43,-0.0008852814068365426,0.0004657661853748607,0.006311107754487834,4.575711298632537,1.3285321531549654,0.011187623276738605,0.010620021864750973
NYKAA,board_governance,30m,38,-0.0013907226588775804,-0.004098058375137048,0.01149697073468464,3.3194012124652454,1.1627476147970541,0.018049250807010288,0.016303155816977166
NYKAA,board_governance,60m,38,-0.0018631292040609392,-0.0017065593527281764,0.01385641674892068,2.8379998014009873,1.0702463375627254,0.020114261153161145,0.01831798182246469
NYKAA,board_governance,session_close,43,0.0013043729838324734,-0.0005467196819084474,0.014523419319173336,1.9206523610112234,1.0642057225408375,0.025488798777498694,0.02137931034482765
NYKAA,board_governance,d1,43,-0.0013168328100744214,-0.0007189072609632419,0.01764078582737917,,,,
NYKAA,board_governance,d5,43,0.0011190896854270918,0.0020370370370370594,0.03281710984877651,,,,
NYKAA,board_governance,d10,43,0.014304005694952176,-0.0009259259259258856,0.05858713480993373,,,,
NYKAA,board_governance,d20,37,0.0219370365490514,0.022480329711502378,0.0808282328921775,,,,
NYKAA,business_updates,5m,71,-0.002323161551745965,-0.001481481481481528,0.010230614445839357,9.55660710310138,3.359656935937839,0.02166253780226811,0.018867924528301883
NYKAA,business_updates,30m,69,-0.006360795856515106,-0.0023520188161505473,0.017846302053701937,6.9936715474969375,3.542543797119274,0.02974612099966081,0.028293812616422498
NYKAA,business_updates,60m,68,-0.0067920616378822,-0.002397188459774602,0.019932450588487676,6.033971336716469,3.44371466751201,0.032884897614788876,0.030735605404654365
NYKAA,business_updates,session_close,71,-0.008425364395087374,-0.004997525977238904,0.026456906349147286,3.3033652879633917,1.8477403848514165,0.04385275555772959,0.041303373025758594
NYKAA,business_updates,d1,71,-0.008131643729029168,-0.005538851084032292,0.03597340491276033,,,,
NYKAA,business_updates,d5,70,0.0020009658773599568,0.0009616216527232879,0.05658294563100093,,,,
NYKAA,business_updates,d10,70,0.01060594190472372,0.005799696457154169,0.06560061180904281,,,,
NYKAA,business_updates,d20,69,0.027508209238377268,0.031083202511773766,0.07447088552312452,,,,
NYKAA,capital_structure,5m,50,7.962251396131936e-05,-0.0003774339828700457,0.005469287531537319,1.6243495436960618,0.9811934501770214,0.010568083186621818,0.009339303391380227
NYKAA,capital_structure,30m,48,-3.552871995797976e-05,-0.0003652127572569275,0.010581409656004723,1.575691715602219,0.9334658767917152,0.016881602847766738,0.014389833705727884
NYKAA,capital_structure,60m,46,0.00026351029898599357,0.0008122645755179736,0.012403269520828975,1.530267216868514,0.9576235991258801,0.020037727316166633,0.01925509652339119
