symbol,subject_group,horizon,independent_event_count,analysis_status,n,mean_return,median_return,standard_error,ci95_lower,ci95_upper
HAL,strategic_transactions,d1,14,inferential,14,-0.0032671730022510574,-0.0071062341012364,0.007550772890570265,-0.01806668786776878,0.011532341863266663
HAL,strategic_transactions,d5,14,inferential,14,-0.009502097694985492,0.0085515050361777,0.018944399823963006,-0.04663312134995298,0.027628925959981995
HAL,strategic_transactions,d10,14,inferential,14,0.006477221904658423,-0.007065125231904601,0.02245176605807515,-0.03752823956916887,0.050482683378485715
HAL,strategic_transactions,d20,14,inferential,14,0.058766564865974195,0.05541096300819695,0.042939390423157156,-0.02539464036341383,0.14292777009536223
HDFCBANK,board_governance,5m,72,inferential,72,-0.0005860048456242414,-0.00031406083110085,0.00029018122500819126,-0.0011547600466402961,-1.7249644608186595e-05
HDFCBANK,board_governance,30m,72,inferential,72,-2.930549598438899e-05,-0.0006133290807546501,0.0006381615641169868,-0.001280102161653683,0.001221491169684905
HDFCBANK,board_governance,60m,72,inferential,69,-0.00016148793718549835,0.0003990821111443,0.0006752643844019967,-0.0014850061306134119,0.0011620302562424152
HDFCBANK,board_governance,session_close,72,inferential,72,-0.00038083209871728657,-0.0002921341984550118,0.0009896444034632587,-0.0023205351295052736,0.0015588709320707005
HDFCBANK,board_governance,d1,72,inferential,72,-0.0008589357681645401,0.0011655304561817,0.001938776455947206,-0.0046589376218210635,0.0029410660854919833
HDFCBANK,board_governance,d5,72,inferential,72,0.001489690849288969,0.0015031225086366501,0.004104348014583602,-0.006554831259294892,0.00953421295787283
HDFCBANK,board_governance,d10,72,inferential,70,0.00018757793793650686,0.0016728724839458,0.004900063497286888,-0.009416546516745793,0.009791702392618808
HDFCBANK,board_governance,d20,72,inferential,70,-0.006610916821039037,-0.0018355002746275502,0.006962059346976045,-0.020256553141112084,0.00703471949903401
HDFCBANK,business_updates,5m,155,inferential,154,-8.562032326035252e-05,0.0,0.00024085381852996667,-0.0005576938075790872,0.00038645316105838216
HDFCBANK,business_updates,30m,155,inferential,152,-0.0005556766967107555,-0.00064512361216285,0.00038810192148919714,-0.0013163564628295818,0.0002050030694080709
HDFCBANK,business_updates,60m,155,inferential,150,-7.679015545537751e-05,-0.0006823430610959,0.0004938962776432103,-0.0010448268596360696,0.0008912465487253146
HDFCBANK,business_updates,session_close,155,inferential,154,-0.0006906411679996261,-0.00155788497497035,0.0007412831674052549,-0.002143556176113926,0.0007622738401146736
HDFCBANK,business_updates,d1,155,inferential,154,-0.002018639188333667,-0.00090689209366435,0.0012632757109411073,-0.0044946595817782365,0.0004573812051109033
HDFCBANK,business_updates,d5,155,inferential,154,-0.0029445299268255464,0.00083709987625955,0.00215192965102932,-0.0071623120428430135,0.0012732521891919207
HDFCBANK,business_updates,d10,155,inferential,154,-0.0010906580820880965,-0.0034827025771999,0.002929375032778181,-0.006832233146333331,0.004650916982157138
HDFCBANK,business_updates,d20,155,inferential,151,-0.003935192015326494,0.0,0.0040811434351746825,-0.011934233148268872,0.004063849117615884
HDFCBANK,capital_structure,5m,130,inferential,127,-0.00044977282865547267,-0.0003588516746411,0.0001811548887754457,-0.0008048364106553463,-9.470924665559911e-05
HDFCBANK,capital_structure,30m,130,inferential,121,-0.00015566638815725124,-0.0008621928437994,0.0003436998736122743,-0.0008293181404373088,0.0005179853641228064
HDFCBANK,capital_structure,60m,130,inferential,112,-0.0002915323684399227,-0.00045320616779265,0.000496920451772297,-0.0012654964539136246,0.0006824317170337793
HDFCBANK,capital_structure,session_close,130,inferential,130,-0.001223096575585634,-0.0010402513811914,0.0006884964488146333,-0.0025725496152623154,0.00012635646409104727
HDFCBANK,capital_structure,d1,130,inferential,130,0.00020147650400893544,0.0008116967864765,0.0011868112814491345,-0.002124673607631368,0.0025276266156492393
HDFCBANK,capital_structure,d5,130,inferential,129,0.0003403535625539216,0.0015929420414164,0.0025856625290829683,-0.004727544994448696,0.00540825211955654
HDFCBANK,capital_structure,d10,130,inferential,129,0.0035255037129829072,0.0018266123366585,0.0037299591770643702,-0.0037852162740632583,0.010836223700029072
HDFCBANK,capital_structure,d20,130,inferential,128,0.00228011132297607,0.001728778294465,0.005441071988215957,-0.008384389773927206,0.012944612419879348
HDFCBANK,corporate_actions,5m,5,descriptive_only,5,0.00010167046355116008,-0.0002011263073209,0.0011309514497085226,-0.002114994377877544,0.002318335304979864
HDFCBANK,corporate_actions,30m,5,descriptive_only,5,-0.0008232245775217601,-0.0015757957768672,0.0018245773340866958,-0.004399396152331684,0.0027529469972881635
HDFCBANK,corporate_actions,60m,5,descriptive_only,5,-0.0002839090228871801,0.0015084473049074,0.0016934444535975227,-0.0036030601519383247,0.0030352421061639644
HDFCBANK,corporate_actions,session_close,5,descriptive_only,5,0.0004602530609458998,0.0024582414119129,0.0029693150750286163,-0.005359604486110187,0.0062801106080019875
HDFCBANK,corporate_actions,d1,5,descriptive_only,5,0.00808536371980766,0.0081456154465004,0.005832961174359296,-0.003347240181936561,0.01951796762155188
HDFCBANK,corporate_actions,d5,5,descriptive_only,5,0.00226517529551456,0.0014412997903563,0.003703436641018457,-0.004993560520881617,0.009523911111910735
HDFCBANK,corporate_actions,d10,5,descriptive_only,5,-0.0073363124488424,-0.003410500206697,0.005398778039652908,-0.0179179174065621,0.0032452925088772983
HDFCBANK,corporate_actions,d20,5,descriptive_only,5,-0.0185205169544098,-0.0093013642000826,0.009932048372817786,-0.03798733176513266,0.0009462978563130608
HDFCBANK,credit_ratings,5m,4,descriptive_only,2,-0.0010605247033104001,-0.0010605247033104001,0.0016560463802993998,-0.004306375608697224,0.0021853262020764233
HDFCBANK,credit_ratings,30m,4,descriptive_only,2,0.00032862143208869997,0.00032862143208869997,0.001636600101975,-0.0028791147677823,0.0035363576319597002
HDFCBANK,credit_ratings,60m,4,descriptive_only,2,-0.00013447022070455,-0.00013447022070455,0.0006704397299946499,-0.0014485320914940636,0.0011795916500849637
HDFCBANK,credit_ratings,session_close,4,descriptive_only,3,0.0012385775124822333,0.000555387256387,0.0008132635665019465,-0.0003554190778615818,0.0028325741028260485
HDFCBANK,credit_ratings,d1,4,descriptive_only,3,-0.013771086865129635,0.0013079786698864,0.016723227654767837,-0.0465486130684746,0.019006439338215324
HDFCBANK,credit_ratings,d5,4,descriptive_only,3,-0.0346741390311249,-0.0322970117718081,0.020244706738029004,-0.07435376423766174,0.005005486175411945
HDFCBANK,credit_ratings,d10,4,descriptive_only,3,-0.037955377499982165,-0.0331522285944259,0.024061553134804542,-0.08511602164419907,0.009205266644234739
HDFCBANK,credit_ratings,d20,4,descriptive_only,3,-0.015648152057133904,-0.018009860146896,0.010691829060511984,-0.03660413701573739,0.005307832901469585
HDFCBANK,financial_results,5m,13,inferential,13,-0.001097272641939492,-0.0013855649326112,0.0010254136430765867,-0.003107083382369602,0.0009125380984906179
HDFCBANK,financial_results,30m,13,inferential,13,-0.00021109540853463061,-0.0015757957768672,0.0016944485981216391,-0.0035322146608530434,0.003110023843783782
HDFCBANK,financial_results,60m,13,inferential,13,0.002207418512483799,0.0015084473049074,0.0020972165345893344,-0.0019031258953112963,0.006317962920278895
HDFCBANK,financial_results,session_close,13,inferential,13,-0.0012778644836851615,-0.0013692377909629,0.003118363095448436,-0.007389856150764096,0.004834127183393773
HDFCBANK,financial_results,d1,13,inferential,13,-0.0063495116887356,-0.0035749506903354,0.0060855938403860015,-0.018277275615892163,0.005578252238420962
HDFCBANK,financial_results,d5,13,inferential,13,-0.012800843077302861,-0.0073377428689541,0.008323269767995089,-0.029114451822573235,0.003512765667967512
HDFCBANK,financial_results,d10,13,inferential,13,-0.013280314049451415,-0.0039447731755424,0.008107013314188158,-0.029170060145260204,0.002609432046357373
HDFCBANK,financial_results,d20,13,inferential,13,-0.017364070685907108,0.0004761904761905,0.011318430068419311,-0.039548193620008956,0.004820052248194741
HDFCBANK,investor_communication,5m,119,inferential,118,1.7171298425890704e-05,-0.0002453206741016,0.00028611893208201023,-0.0005436218084548493,0.0005779644053066307
HDFCBANK,investor_communication,30m,119,inferential,116,-5.877392654041893e-05,-0.0007847880925914001,0.0004282713676412387,-0.0008981858071172469,0.0007806379540364089
HDFCBANK,investor_communication,60m,119,inferential,115,-0.0005412682504931909,-0.0017299886885355,0.0005149434697221341,-0.001550557451148574,0.00046802095016219207
HDFCBANK,investor_communication,session_close,119,inferential,119,-0.0010998361192040235,-0.0009247842170161,0.0007892734012579402,-0.0026468119856695865,0.00044713974726153937
