subject_group,horizon,independent_event_count,analysis_status,n,mean_return,median_return,std_return,standard_error,ci95_lower,ci95_upper
regulatory_compliance,30m,128,inferential,123,-0.00016454293507128882,-0.0005034579612602,0.009220077819388791,0.0008313464199013586,-0.0017939819180779516,0.001464896047935374
regulatory_compliance,60m,128,inferential,115,0.0007127203974151011,0.0,0.013090205434231792,0.0012206679508274631,-0.0016797887862067264,0.003105229581036929
regulatory_compliance,session_close,128,inferential,128,0.000299913636081608,-0.0005858986022677999,0.017064519182082922,0.001508304653917344,-0.0026563634855963857,0.003256190757759602
regulatory_compliance,d1,128,inferential,128,-0.0024940234322109894,-0.0032933551791924,0.024913401170626695,0.0022020543637713756,-0.006810049985202885,0.0018220031207809065
regulatory_compliance,d5,128,inferential,127,2.9247353945219e-05,-0.0061687885549284,0.07715009096058527,0.006845963541592062,-0.013388841187575223,0.01344733589546566
regulatory_compliance,d10,128,inferential,127,0.0025471961232322255,-0.004498172617374,0.07220682487038976,0.00640731960730097,-0.010011150307077676,0.015105542553542125
regulatory_compliance,d20,128,inferential,121,0.009593112235507456,-0.0005073934473759,0.08900770958491126,0.00809160996226466,-0.006266443290531278,0.025452667761546192
strategic_transactions,5m,129,inferential,129,-0.0003573543438083572,-0.0002261079288513,0.008637378923030327,0.0007604788101059892,-0.001847892811616096,0.0011331841239993815
strategic_transactions,30m,129,inferential,127,0.0003568882782825631,0.0002784351942086,0.013205692203625457,0.0011718156938232674,-0.001939870481611041,0.0026536470381761674
strategic_transactions,60m,129,inferential,125,0.001073666077543571,0.0004301579852965,0.015021270427830257,0.0013435432714014321,-0.0015596787344032358,0.003707010889490378
strategic_transactions,session_close,129,inferential,129,0.0010852006447525909,-0.001708914839077,0.027477865060645812,0.0024192911196538797,-0.0036566099497690138,0.005827011239274196
strategic_transactions,d1,129,inferential,129,0.0013785549809955196,-0.0011356597150526,0.04327301712556927,0.0038099767147651703,-0.0060889993799442136,0.008846109341935252
strategic_transactions,d5,129,inferential,129,0.009726524719895165,0.0052495072102916,0.08129147620539089,0.007157315390158429,-0.004301813444815356,0.023754862884605685
strategic_transactions,d10,129,inferential,129,0.021556401878245455,0.0034683903515686,0.10799146884250367,0.009508118661781773,0.0029204893011531806,0.04019231445533773
strategic_transactions,d20,129,inferential,127,0.04164233455067902,0.0133878385283598,0.14946857681091263,0.013263191458632573,0.015646479291759177,0.06763818980959886
